int_arr_port,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Higuera La Real,1,1,2002,2002,2002,2002,7416527,10881200,2473,2473,2473,2473,2,168
L'Escala,2,2,1985,1985,2000,2008,4985160,5979150,801,801,848,1119,1,84
Trobajo Del Cerecedo,1,1,2003,2003,2003,2003,32085175,53042469,1070,1070,1070,1070,6,429
Lage,1,1,2008,2008,2008,2008,4750164,7175475,1595,1595,1595,1595,1,90
Binissalem,1,1,2000,2000,2000,2000,6050820,8291280,2630,2630,2630,2630,2,152
Santa Marta Ortiguei,1,1,1989,1989,1989,1989,2425559,3540841,1032,1032,1032,1032,1,58
Los Cristianos,3,3,2006,2006,2006,2006,50052231,5449685,735,1410,1754,1752,21,1634
La Seu D'Urgell,1,1,1997,1997,1997,1997,1257201,1900816,448,448,448,448,0,22
Puerto De Granadilla,3,3,2006,2006,2006,2006,13416244,16751051,893,1164,1078,1181,5,366
Montiel,1,1,2008,2008,2008,2008,2063460,3294850,929,929,929,929,1,44
Miraclamp,1,1,2000,2000,2000,2000,10980226,11083547,9393,9393,9393,9393,2,145
L'Ametlla De Mar,2,2,2002,2002,2004,2006,8231716,7699097,1963,1963,1363,1295,7,525
Viveiro,1,1,1997,1997,1997,1997,13060700,15905655,1694,1694,1694,1694,3,210
Sant Joan Despi,1,1,1975,1975,1975,1975,23760,9009,56,56,56,56,3,198
Las Galletas,1,1,2010,2010,2010,2010,93752795,147285915,4505,4505,4505,4505,10,779
San Pedro Pescador,1,1,2006,2006,2006,2006,3250974,4646889,578,578,578,578,1,41
Orzola,1,1,2006,2006,2006,2006,50668001,99141320,570,570,570,570,6,437
