Int. Dep. by Partner,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Svalbard and Jan Mayen,1,1,2,3,2003,2003,2003,2003,1543,1543,1543,1543,186,186,186,186,51,51,51,51,1.7,124,126,12951,2312,3549,12951,33626,42810
Mauritania,1,1,291,583,2009,2009,2009,2009,3235,3235,3235,3235,385,385,385,385,497,497,497,497,16.4,1263,1287,131221,260291,299734,131221,371809,429386
Isle of Man,1,1,2,4,1988,1988,1988,1988,1288,1288,1288,1288,125,125,125,125,206,206,206,206,5.0,383,390,2178,6218,13405,2178,7544,12190
Namibia,1,1,342,108,2011,2011,2011,2011,5791,5791,5791,5791,367,367,367,367,7,7,7,7,18.4,1422,1449,109770,483967,560483,109770,417235,449036
"Bonaire, Sint Eustatius and Saba",1,1,185,349,2008,2008,2008,2008,3308,3308,3308,3308,304,304,304,304,9,9,9,9,12.3,952,970,180184,379451,417853,180184,442558,553145
Bangladesh,1,1,1,1,2009,2009,2009,2009,215,215,215,215,25,25,25,25,2,2,2,2,0.2,12,12,2465,7071,10162,2465,8034,11555
Suriname,1,1,19,29,2006,2006,2006,2006,4752,4752,4752,4752,485,485,485,485,227,227,227,227,5.0,375,383,49327,144695,199543,49327,197616,249171
Curaçao,1,1,0,0,2007,2007,2007,2007,14,14,14,14,6,6,6,6,12,12,12,12,0.1,9,9,373,946,1068,373,961,1082
Dominican Republic,1,1,553,655,2017,2017,2017,2017,4891,4891,4891,4891,280,280,280,280,26,26,26,26,43.9,3386,3451,295363,866208,1013960,295363,1086361,1282301
Bulgaria,1,1,40,66,2003,2003,2003,2003,3524,3524,3524,3524,297,297,297,297,58,58,58,58,7.2,553,563,27188,75476,117304,27188,128088,166011
Kenya,1,1,288,520,2010,2010,2010,2010,8951,8951,8951,8951,895,895,895,895,19,19,19,19,20.2,1561,1591,231962,459093,569424,231962,740520,860992
French Guiana,1,1,39,18,1995,1995,1995,1995,4268,4268,4268,4268,294,294,294,294,73,73,73,73,10.4,799,815,65860,507758,239606,65860,160727,229123
Cabo Verde,1,1,77,123,2015,2015,2015,2015,3264,3264,3264,3264,255,255,255,255,7,7,7,7,10.4,793,809,23672,173360,199881,23672,204422,251296
Kuwait,1,1,2,3,2007,2007,2007,2007,175,175,175,175,21,21,21,21,6,6,6,6,0.4,31,32,3352,9526,11284,3352,10508,12318
Australia,1,1,63,104,2016,2016,2016,2016,2390,2390,2390,2390,283,283,283,283,0,0,0,0,3.8,295,301,46427,91888,113970,46427,148215,172328
"Taiwan, Province of China",1,1,612,242,1999,1999,1999,1999,10638,10638,10638,10638,659,659,659,659,5,5,5,5,42.6,3291,3354,244877,1079643,1250337,244877,930776,1001719
