int_arr_port,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
"Ham Voe, Foula",33,24,1999,1999,2007,2006,73965896,50119645,617,2195,879,728,53,3971
Helford,2,2,2004,2004,2003,2003,404444219,377830235,2163,2163,2204,1483,67,4386
Billingborough,3,3,2009,2009,2009,2009,1130333825,1785270514,1651,23259,10148,8799,174,13488
Saint Peter Port,5,5,1987,1987,2010,2010,166249702,205663803,1044,1023,1311,1352,18,1401
Charmouth,2,2,2001,2001,2007,2007,183068744,350521128,2192,2192,3983,4185,10,786
Whitehall,2,2,1994,1994,1989,1993,3829330,4339051,840,840,756,634,2,170
Ayr,59,52,2003,2003,2004,2005,145902458,222098872,832,960,1021,1034,47,3545
Bryher,6,6,2005,2005,2011,2012,99840948,141786542,347,1108,775,823,7,509
Loch Long,4,4,2004,2004,2004,2004,164346224,306834700,543,561,947,964,16,1187
Port Saint Mary,20,16,2000,2000,2009,2009,110235992,187694004,268,456,883,1009,14,1041
Groomsport,7,7,2006,2006,2016,2015,322507541,289472088,1352,2341,1934,1852,40,2924
Scapa Bay,52,43,2006,2007,2008,2008,2987016920,5306234175,733,1029,1041,1037,557,41917
Scarborough,5,5,2004,2004,2010,2009,11499377,4430944,606,860,589,500,7,521
Ramsey,24,20,2000,2000,2007,2006,46918084,48124071,509,741,427,627,24,1820
Pittenweem,1,1,2002,2002,2002,2002,5913582,8231448,495,495,495,495,2,117
Wick,5,3,2012,2011,2012,2012,16072042,21972628,1212,926,1259,1266,5,343
Saint Michael'S Mount,9,9,2005,2005,2003,2003,315492923,532831037,947,1435,1818,1863,46,3496
Hoswick,2,2,1988,1988,1984,1984,5680704,3395070,6820,6820,3715,3745,6,421
Pierowall,1,1,2002,2002,2002,2002,1082092,639291,880,880,880,880,1,99
Skerray,5,5,2000,2000,2008,2008,381413437,739955262,1203,1248,2166,2198,27,2056
Levenwick,2,2,2010,2010,2010,2012,3824127,3173090,976,976,693,607,3,239
"Hamnavoe, Burra Isle",3,3,2007,2007,2004,2003,90397915,150801654,1456,1233,1560,1565,19,1422
Nairn,20,10,2001,1999,2002,2002,343317020,574677170,627,830,600,598,219,16476
Milford-On-Sea,3,3,2005,2005,2004,2004,48653744,54441720,289,366,473,414,4,309
Portavadie,8,3,1991,1993,1991,1991,8755907,10800877,452,470,458,459,2,169
Portpatrick,2,2,1997,1997,2009,2003,7578836,1889386,28050,28050,5991,1678,35,2594
Sheringham,4,4,1996,1996,1998,1996,1505423,2086004,305,395,335,356,1,98
Porlock,20,18,2003,2003,2006,2004,170017006,106315598,560,806,1481,1009,22,1654
Bournemouth,3,3,2008,2008,2008,2008,5237417,7609115,489,413,430,431,1,86
Kyleakin,4,4,2008,2008,2006,2007,22475661,26599828,793,914,1144,1128,7,525
St Agnes,14,14,2008,2008,2008,2009,555960202,886621298,921,1447,1328,1355,50,3794
Sumburgh,3,3,1984,1984,1996,2002,86609565,136990700,904,1049,879,905,11,806
Talmine,7,7,1992,1992,2011,2011,75525545,131950229,1241,1082,1277,1287,8,614
Hunterston,2,2,2005,2005,2003,2003,185841,220838,448,448,50,48,1,108
Millport,2,2,2002,2002,2001,2001,7084241,9311383,720,720,456,437,3,249
"Saint Margaret'S Hope, South Ronaldsay",8,8,2006,2006,2003,2003,88414410,157939898,502,500,484,502,40,2983
