int_arr_port,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Agathonisi,67,58,1988,1988,1994,1994,251044072,383921544,595,769,1093,1149,49,3728
Samos,12,10,1999,1999,1995,1992,11618171,13093011,380,1339,450,367,10,734
Fournoi,1,1,2000,2000,2000,2000,259061,411404,773,773,773,773,1,43
Mastichari,6,6,1987,1987,1990,1991,33930745,55580593,710,868,734,720,5,372
Kalymnos,56,51,1992,1992,2003,2004,332941702,509453350,471,953,850,869,134,10118
Agios Stefanos,16,16,2000,2000,2009,2010,222338268,403898176,535,833,700,706,23,1808
Thisvi,36,34,2003,2004,2008,2008,783750154,1228923093,897,1365,1690,1691,96,7406
Aegina,44,44,2001,2001,2008,2009,1762828421,2887433808,557,1416,1190,1281,155,11952
Gaios,28,20,1992,1992,1991,1999,173601008,138724601,521,1670,759,647,44,3398
Anafi,7,7,1994,1994,2005,2005,53164965,83214087,802,960,1135,1169,8,589
Parga,3,3,2004,2004,2010,2008,109337267,20748306,680,1020,1833,1236,31,2434
Skaloma,10,5,1983,1992,1999,2000,146612626,23755856,494,663,727,711,54,4176
Kalamos Island (Lefkada),3,3,2002,2002,2010,2009,127003085,23873753,1158,1038,1569,1368,35,2743
Kastos Island,3,3,1995,1995,2009,2000,97069054,21883758,600,823,1500,934,26,2014
Malessina,2,2,1996,1996,1998,1999,1626419,2042405,396,396,391,396,0,36
Kythnos,36,22,1991,1996,1995,1999,700636930,729024968,964,1312,915,909,107,8226
Alexandroupoli,30,28,2000,2000,2003,2001,183132329,235951226,803,1969,1021,1096,82,6173
Agria,30,24,1993,1993,1998,1998,136071555,205010360,801,1577,956,958,42,3225
Mykonos,142,38,2001,1996,2004,2000,8172757613,1372917513,808,1164,897,1198,1803,139685
Rafina,8,8,2000,2000,2007,2009,90672349,151753202,970,2328,1521,1534,22,1691
Navplio,26,25,2000,2000,1996,2000,183487655,125428188,757,1055,897,1053,46,3525
Lindos,11,11,1999,1999,2005,2007,81744204,109538937,445,443,438,439,11,880
Vrisakia,17,17,1998,1998,2007,2007,491205673,787597128,752,1498,2861,2868,72,5522
