int_arr_port,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Bukhta Ol'Ga,3,3,1989,1989,1991,1989,14069557,9060766,3504,5705,5111,4777,18,1330
Kondopoga,2,2,1972,1972,1967,1967,5006344,6649407,1032,1032,1017,1037,3,213
Aleksandrovsk -Sakhalinskiy,1,1,1978,1978,1978,1978,1079448,1291750,197,197,197,197,0,20
Dudinka,17,10,2002,1993,1991,1996,80484362,31563652,72,1999,1443,850,16,1225
Orekhovo-Zuevo,1,1,2009,2009,2009,2009,101595241,140451329,11527,11527,11527,11527,25,1848
Uglegorsk,15,14,1996,1995,2005,2006,477854241,774768270,1673,2564,1537,1511,61,4683
Bolshaya Piryu Guba,2,2,2003,2003,2012,2012,62664803,95995084,1286,1286,336,280,11,837
Keret,2,2,2016,2016,2017,2017,21991906,34206471,840,840,855,855,2,186
Lesogorsk,3,3,1991,1991,1992,1992,10992504,13675634,967,855,972,1013,10,731
Balozhi,3,3,1994,1994,2019,2018,67739431,66010408,442,320,432,428,9,643
Krasnoturansk,1,1,2018,2018,2018,2018,2056484,3057888,880,880,880,880,1,40
Chamgu,3,3,1992,1992,1990,1990,9532513,5117081,1196,1333,2243,2343,4,284
Zelenodol'Sk,1,1,1991,1991,1991,1991,1433615,362620,2108,2108,2108,2108,3,212
Malino,1,1,1970,1970,1970,1970,60567,36440,485,485,485,485,1,102
Uglich,2,2,1996,1996,1974,1973,7241137,9300983,1091,1091,1632,1791,9,652
Sovetsk,1,1,1974,1974,1974,1974,2305,1123,20,20,20,20,7,550
Port Dikson,1,1,1995,1995,1995,1995,3429,5535,0,0,0,0,1,50
Ust-Kamchatsk,2,2,2010,2010,2009,2013,134675881,128224058,2089,2089,1615,2347,9,685
Timashevsk,1,1,2012,2012,2012,2012,2447847,3479168,474,474,474,474,1,50
Kazan,3,3,1991,1991,1990,1990,9561172,2641825,97,4687,4568,5140,6,453
Moscow,5,3,2012,2007,2018,2011,3363705,326541,413,225,670,195,56,4225
Solovki,1,1,1987,1987,1987,1987,5223091,1339254,44642,44642,44642,44642,20,1481
Konakovo,1,1,1984,1984,1984,1984,33980024,34014364,8585,8585,8585,8585,3,219
Kasimov,1,1,2005,2005,2005,2005,6404189,9796407,750,750,750,750,2,118
Igarka,1,1,1965,1965,1965,1965,3990092,5004522,2415,2415,2415,2415,2,171
Gorskaya,1,1,1974,1974,1974,1974,702570,799466,279,279,279,279,3,199
