Domestic by Dep. Port,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Rahja,85,54,110,138,1998,1999,2003,2005,158,273,221,214,23,45,52,53,23,72,47,48,50.9,3818,3892,233692,664677,888361,2749,9884,12707
Tervsund,83,14,98,140,2008,1987,2015,2015,290,208,330,331,33,27,37,37,20,46,24,23,33.4,2505,2553,312490,750387,909337,3765,11410,14545
Vasklot (Vaskiluoto),75,46,140,184,2000,2000,2004,2004,183,243,307,322,19,25,34,35,27,41,38,41,49.0,3672,3742,270288,779302,997281,3604,11776,14906
Inkoo,72,50,76,106,1995,1996,2003,2003,128,172,214,219,20,33,32,31,25,58,40,38,34.6,2593,2643,122465,401290,469523,1701,5950,7929
Mantyluoto,69,46,100,143,2003,2003,2005,2005,206,266,358,350,23,201,89,84,29,72,42,42,49.8,3740,3812,251825,704011,921655,3650,12574,15760
Kaskinen,68,45,59,81,1994,1996,1998,1998,211,259,257,255,26,202,76,81,24,35,37,37,35.0,2627,2677,188394,543046,745696,2770,9308,12641
Vuoksen Terminal,67,12,14,21,1981,1989,1986,1987,216,170,199,196,22,28,47,44,10,19,14,14,6.6,494,504,71690,201766,288159,1070,3410,4878
Lapaluoto,63,42,61,79,2000,2001,2002,2003,212,237,218,217,22,27,39,39,24,37,34,33,28.5,2142,2183,165599,475611,661854,2629,9168,12431
Raahe,59,29,122,87,1997,2000,1995,2001,159,228,266,198,19,22,58,45,24,62,55,57,62.3,4533,4620,270168,602819,693756,4579,11735,13857
Korrvik,55,12,679,73,1999,1990,2004,2004,159,209,294,287,11,18,33,32,1,10,17,18,105.3,7602,7748,454068,1121784,1376104,8256,17632,16083
Hamina,50,24,36,47,1993,1996,1999,2000,155,236,261,260,32,29,34,33,28,28,37,36,18.1,1355,1381,99855,284340,396808,1997,7211,9551
Nilsia,46,2,1,1,1968,1968,1969,1968,165,185,263,233,32,32,73,67,10,12,47,42,4.5,335,341,13104,30986,41489,285,736,993
Marsund,45,7,369,37,1996,1994,1995,1996,181,214,169,163,11,15,10,10,6,17,7,9,69.0,5179,5279,224100,555166,680863,4980,10656,9724
Porkkala,44,28,40,43,2002,2000,2010,2009,116,260,258,218,24,43,52,45,24,45,43,41,16.8,1206,1229,129580,324595,418365,2945,8992,11389
Tahkoluoto,43,18,86,91,2001,2000,2004,2004,244,898,263,223,22,27,28,26,22,429,593,209,56.6,4246,4328,120049,333752,440560,2792,9296,11582
Veitsiluoto,42,31,63,86,2002,2002,2002,2003,268,293,345,337,46,87,62,61,32,45,36,36,23.6,1772,1806,161601,471692,655707,3848,14832,19146
Farjsundet,31,12,79,24,1978,1983,2007,2002,119,1112,1897,567,14,204,2550,1372,23,49,237,137,64.9,4872,4965,105387,261520,334223,3400,8614,9558
Koverhaara (Koverhar),30,3,15,22,2012,2013,2012,2012,136,107,134,133,13,13,13,13,13,26,15,15,5.0,377,384,36659,107669,148550,1222,4908,6192
Kasnas,28,11,14,5,1983,1988,1991,1993,396,1651,845,597,91,642,2604,2680,24,238,505,419,57.2,4293,4375,108175,235200,306374,3863,8723,12118
Pori,28,17,61,83,2003,2005,2005,2005,329,426,375,378,37,146,61,55,21,36,24,23,31.2,2299,2343,126501,347611,423530,4518,14053,16918
Suomenlinna (Sveaborg),25,10,66,28,1993,1990,2003,2006,176,291,236,432,69,191,393,1315,18,38,52,130,57.0,4193,4273,136881,313796,367257,5475,13595,15597
Vuosnainen,23,15,29,12,1979,1982,1987,1971,328,1356,1112,625,80,365,2493,1111,40,99,166,326,35.7,2680,2731,154501,346938,458328,6717,15852,22141
Olkiluoto,23,17,17,25,1998,1997,1998,1998,270,331,302,301,28,42,46,45,29,31,33,33,6.5,485,494,72767,209072,298849,3164,10565,14934
Loviisa,23,18,36,36,1992,1994,1997,2004,212,283,269,191,36,48,90,65,27,38,28,32,14.1,1056,1076,104011,254245,317721,4522,13484,16488
