int_arr_port,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Castellammare Di Sta,7,7,1995,1995,1995,2005,24985005,14145754,762,12160,843,1023,85,6345
Bosa,3,3,1994,1994,1989,1991,2658150,2320434,896,1086,555,488,3,254
Lesina,7,7,2001,2001,2011,2012,77117956,119721867,1091,1524,1728,1760,19,1467
Corigliano Calabro,5,5,2005,2005,2006,2006,25075718,37168685,626,995,1027,1037,7,526
Sferracavallo,4,4,1998,1998,1997,1997,12964231,17779771,1032,953,905,898,3,241
Sanremo,9,6,2002,2000,2011,2017,37873056,43272103,124,234,282,709,12,903
Marina Di Loano,2,2,2016,2016,2017,2018,928190,1442829,95,95,88,86,4,292
Santa Foca Di Melendugno,4,4,2007,2007,2011,2011,118440319,163670180,941,2560,2226,2157,20,1506
Riposto,1,1,1985,1985,1985,1985,1412304,1738112,704,704,704,704,0,22
Porto Recanati,26,6,1987,1992,1997,1998,48701941,76010094,173,1226,719,766,12,906
Cala Gonone,5,4,2002,2000,2006,2005,68375532,90945767,1130,1113,1541,1527,12,952
Aci Castello,2,2,1995,1995,1988,1988,9188004,3738000,623,623,1214,1151,8,633
Grado,4,4,1995,1995,1995,1995,13603316,17802018,926,957,970,965,3,255
Chiavari,1,1,2010,2010,2010,2010,52410764,101920359,643,643,643,643,3,242
Capri,9,9,2005,2005,2013,2013,286933175,331724322,565,718,1025,984,54,4106
Porto Azzurro,2,1,1995,1995,1995,1995,91748328,42163965,2876,2876,2876,2876,19,1450
Levanzo,6,6,1994,1994,1999,1993,15454253,2201753,449,814,482,414,11,806
Sperlonga,1,1,2016,2016,2016,2016,569711,645505,157,157,157,157,0,13
Patti,1,1,2010,2010,2010,2010,774007,763898,440,440,440,440,0,18
Riva Trigoso,1,1,2003,2003,2003,2003,4815286,3880642,1068,1068,1068,1068,3,204
Castelsardo,4,4,1999,1999,2008,2003,198619017,23945669,1388,1332,1521,1417,50,3881
Vibo Valentia Marina,3,3,1989,1989,1997,1998,6521698,9771953,716,745,768,765,2,147
Macchia,2,2,2000,2000,2005,2005,63849944,117523707,1005,1005,976,975,6,493
Marina Di Campo,1,1,2009,2009,2009,2009,9005389,12980709,1779,1779,1779,1779,2,182
Recco,4,4,2008,2008,2006,2006,164779038,212797968,598,1695,2009,2021,21,1616
Lacco Ameno,1,1,1988,1988,1988,1988,9073831,868175,28006,28006,28006,28006,2,164
