int_arr_port,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
New Iberia,30,30,1993,1993,1998,2002,34644735,41959643,1078,2432,2096,2147,117,8765
Falmouth,5,4,2006,2009,1998,2000,41864248,19560470,1060,1846,792,234,18,1380
Manistique,5,5,1974,1974,1998,1998,21207746,33452336,274,295,397,384,4,271
Klawock,6,6,2008,2008,2013,2013,367153703,582167280,2593,2895,3313,3314,33,2568
Belle Harbor,9,8,2008,2008,2006,2006,2183690430,2859352631,3743,3960,4173,3743,264,20394
Moss Point,10,10,1973,1973,1978,1979,12221228,4194694,1,2438,2291,2221,42,3155
Vashon Island,1,1,2016,2016,2016,2016,210518529,390673808,4763,4763,4763,4763,15,1156
Puget Sound,9,8,1983,1980,1992,1998,35370542,22154797,361,3216,4684,5110,63,4727
Metlakatla,2,2,1985,1985,1989,1989,3430810,361456,303,303,548,452,1,85
Nome,10,8,1995,1995,2004,2006,271514805,377971186,3003,2498,2214,2310,100,7680
Cottrellville,2,2,1982,1982,1973,1972,195463,37099,272,272,275,275,0,12
Hampton,4,4,2012,2012,2012,2011,1179365061,2161520092,4098,5539,4812,4733,91,7034
Saint Johns,4,3,1970,1972,1967,1967,369399,253486,184,317,441,384,4,328
John F Kennedy Space Center/Cape Canaveral,1,1,1965,1965,1965,1965,291836,208454,1263,1263,1263,1263,1,78
Fleming Island,4,3,1975,1978,2002,1993,6986981,1312815,1004,1070,1258,1103,33,2452
Bear Island,1,1,2011,2011,2011,2011,33849230,44545777,3390,3390,3390,3390,5,412
St Petersburg,7,6,1999,2002,2005,2005,220605908,358157273,1075,2359,3795,4231,82,6189
Boca Grande,1,1,2010,2010,2010,2010,6813596,10803218,1376,1376,1376,1376,9,641
Morgan City,11,11,2004,2004,1999,1996,1611365,2952064,29,460,418,714,71,5303
Palmetto Bay,2,2,2010,2010,2012,2012,206412954,370224346,3190,3190,4072,4200,15,1173
Bothell,1,1,2017,2017,2017,2017,12246337,19222357,536,536,536,536,1,68
Wood River,2,2,2002,2002,2017,2017,2665958,4144412,78,78,113,115,1,55
Annapolis,10,10,2008,2008,2011,2013,1581369339,2667018785,3565,3075,3255,3252,104,7999
Jonesport,32,3,1994,1999,2004,2004,11129756,19031386,75,93,126,115,5,365
Mount Desert,64,3,1997,1999,2000,1999,4048181,3041290,112,117,176,199,8,629
Sunny Point,26,21,1996,1997,1995,1997,1550587138,1557232173,2252,2589,3796,3513,208,15921
South Vallejo,2,2,1984,1984,1996,1988,2562498,336025,2476,2476,3482,974,8,619
Taconite Harbor,54,20,1976,1974,1976,1976,434116370,835439251,308,342,339,337,66,4939
Tavernier,7,6,1997,1997,2003,2007,223599260,204621538,749,949,646,1113,41,3138
Chickasaw,4,4,1978,1978,1964,1982,2280329,1246361,774,1201,1073,903,6,432
Seldovia,3,3,1997,1997,1990,1990,507973,512968,119,500,504,594,17,1282
Capitola,1,1,1996,1996,1996,1996,17565,9101,21,21,21,21,0,31
Blairesville,1,1,2011,2011,2011,2011,5363844,6220915,1244,1244,1244,1244,2,135
Westport,13,13,2009,2009,2013,2013,1661798764,2869774868,4290,4266,4613,4606,125,9646
Corolla,7,7,2011,2011,2011,2011,1916677351,1318695595,3516,3788,3824,3901,154,11318
Port Huron,13,8,2000,1994,2008,2009,31990213,47701673,261,180,236,240,18,1314
Port Isabel,9,8,1992,1993,2002,2002,6233736,5654674,266,453,326,290,7,556
Cobbs Creek,8,8,1968,1968,1980,1981,2026216,1666944,3,314,401,325,28,2072
Hickman,1,1,1972,1972,1972,1972,478791,67063,406,406,406,406,0,32
Youngstown,3,3,2001,2001,1996,1996,1889623,3003904,41,43,34,35,0,29
Noti,1,1,1990,1990,1990,1990,4440759,7112327,2223,2223,2223,2223,0,16
Bucksport,2,2,1980,1980,2007,2007,8968598,14223564,199,199,378,379,3,237
Jersey City,15,11,1981,1993,2005,2006,518160175,295472146,725,1383,1756,1509,207,15666
Bridgeport,9,9,1999,1999,2011,2011,478918253,808556566,719,2117,5438,6262,53,4031
Lorain,19,8,1979,1980,1982,1981,79706719,116906179,308,271,263,265,11,826
Weybridge,1,1,2007,2007,2007,2007,687810629,1356981359,8111,8111,8111,8111,61,4749
Satsop,1,1,2010,2010,2010,2010,145254640,171854269,20259,20259,20259,20259,37,2847
Aransas Pass,1,1,1979,1979,1979,1979,212,307,2,2,2,2,4,297
Spencer,1,1,1991,1991,1991,1991,742614,1013792,63,63,63,63,1,105
Palacios,3,3,1996,1996,2005,2011,11539409,9794585,1890,3040,869,481,12,884
Wintersville,1,1,1979,1979,1979,1979,101312,122019,740,740,740,740,3,223
Lake Huntington,1,1,1996,1996,1996,1996,4442579,7232019,157,157,157,157,21,1631
Gary Harbor,7,5,1973,1978,1979,1978,86678055,133678583,789,678,761,723,14,1021
Mackinaw City,7,5,1991,1993,1977,1972,11510925,15629664,198,173,177,177,4,267
Patterson,2,2,2003,2003,2004,2004,7463207,4413544,9471,9471,11360,11089,36,2669
Chetek,1,1,1996,1996,1996,1996,2740917,3818098,578,578,578,578,1,83
Poughkeepsie,8,8,1999,1999,2009,2009,197598702,285595200,2837,3408,2929,2975,47,3570
Paducah,3,3,1973,1973,1967,1968,506456,100467,70,203,325,200,2,140
Monroe,12,8,1983,1980,1980,1979,21146035,35297809,99,140,109,106,5,356
"Springville, Suffolk",11,10,2009,2008,2007,2008,726515944,692472086,562,1617,1360,1398,66,5075
Havre De Grace,3,3,2009,2009,2012,2011,192248,80242,87,177,244,166,0,33
Lake Providence,2,2,1993,1993,1997,2000,184401,78998,239,239,166,239,0,6
Cordova,5,5,1976,1976,1977,1977,1471056,477732,133,234,403,321,18,1314
Port Townsend,6,6,1956,1956,1990,1989,1293867,959860,98,144,85,85,19,1422
Yes Bay,1,1,1942,1942,1942,1942,13851,15994,93,93,93,93,0,6
Tomkins Cove,4,4,1999,1999,2010,2010,175811631,300319855,1682,1705,3372,3405,17,1325
Menemsha,4,4,1999,1999,2010,2011,115700474,180634793,2397,2024,2953,3136,15,1126
Kalaupapa,1,1,2018,2018,2018,2018,2157779,1484362,4742,4742,4742,4742,10,721
Saint Helens,3,3,2000,2000,2012,2012,347440264,637129721,4334,3116,4614,4646,38,2890
Hunts Point,1,1,2008,2008,2008,2008,12051,16806,4,4,4,4,0,5
St. James,3,3,2007,2007,2010,2010,116909797,187698148,1908,1867,2004,2014,13,986
Casselton,1,1,1991,1991,1991,1991,3606835,1835509,629,629,629,629,2,171
Point Arena,3,3,1995,1995,1996,1994,119977466,161614827,760,775,773,777,14,1058
Neptune City,2,2,2010,2010,2013,2013,1633749806,1681823217,5898,5898,6521,6312,141,10869
Waianae,1,1,2001,2001,2001,2001,344877,349043,2029,2029,2029,2029,1,91
Seward,11,9,1999,1995,2003,2004,223348156,20139680,1187,1669,2098,1793,75,5749
Navarre,1,1,2010,2010,2010,2010,20657178,27394848,2146,2146,2146,2146,5,387
Mckees Rocks,1,1,1975,1975,1975,1975,3035,4139,25,25,25,25,0,3
Jamesport,4,4,2008,2008,2006,2006,298620424,513786621,2177,2114,1771,1744,35,2708
