int_arr_port,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Straubing,1,1,2016,2016,2016,2016,24412564,46956914,260,260,260,260,1,84
Arnis,1,1,1972,1972,1972,1972,598314,175368,3439,3439,3439,3439,2,144
Dagebuell,2,2,1990,1990,1986,1981,916822,562309,1023,1023,1030,1043,3,250
Langendamm,4,3,1982,1982,1983,1983,774770,765936,349,317,254,228,2,117
Orsoy,2,2,2008,2008,2010,2010,3592784,4425317,216,216,220,220,1,68
Neuss,3,3,2001,2001,2004,2002,1084202,1464884,319,260,254,260,0,37
Emmerich,2,1,2012,2012,2012,2012,221883,283360,62,62,62,62,0,6
Biere,1,1,1984,1984,1984,1984,822885,837191,130,130,130,130,0,36
Meiderich,3,3,2000,2000,2000,2000,1293589,1817084,216,228,229,231,0,32
Nordstrand,5,5,1982,1982,1981,1988,7029416,3641945,498,3478,1353,580,21,1545
Oldendorf,1,1,2010,2010,2010,2010,992173,1359356,521,521,521,521,0,25
Kirchmoser,1,1,2014,2014,2014,2014,295405,347536,1158,1158,1158,1158,3,227
Arendsee,1,1,1998,1998,1998,1998,180892908,195764273,4068,4068,4068,4068,25,1937
Bullenhausen,1,1,1983,1983,1983,1983,4440,234,26,26,26,26,3,229
Kranzberg,1,1,1994,1994,1994,1994,27317347,46845864,1045,1045,1045,1045,3,249
Kroslin,1,1,2007,2007,2007,2007,13795,12538,10,10,10,10,2,158
Gruenendeich,2,2,1964,1964,2002,2002,11476822,14673509,289,289,419,418,3,252
Rees,2,1,2010,2010,2010,2010,776791,1129798,220,220,220,220,0,21
Grosszerlang,1,1,2007,2007,2007,2007,2232623,3212928,883,883,883,883,1,48
Kipfenberg,1,1,1992,1992,1992,1992,4177120,6391620,1279,1279,1279,1279,1,113
Suhrendorf,1,1,2012,2012,2012,2012,49820,8444,422,422,422,422,0,21
Hergatz,1,1,1973,1973,1973,1973,5455400,1465007,28414,28414,28414,28414,10,757
Burladingen,1,1,1973,1973,1973,1973,81379,21854,424,424,424,424,0,17
