int_arr_port,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Orstav,2,2,1987,1987,2002,2003,10938066,13206129,1229,1229,1702,1776,3,237
Kjopsvik,37,17,2004,2001,2004,2004,199253119,285886160,1123,1602,1245,1237,77,5890
Sortland,20,18,1999,2000,1999,2004,104253999,90618086,972,1315,1190,1328,33,2490
Deknepollen,42,38,2000,2000,2003,2004,89330994,93084714,661,724,715,710,39,2957
Forde,3,3,2001,2001,1998,1998,85704019,155576618,814,1018,1382,1396,7,506
Moss,108,34,1995,1998,2003,2003,243343490,310367262,455,633,527,527,113,8479
Traena,15,12,1995,1998,2007,2008,360215789,625431346,902,1607,1802,1788,44,3368
Bomlo,3,3,1986,1986,1985,1985,152750,108535,6,105,54,51,2,187
Avaldsnes,1,1,1985,1985,1985,1985,108051,76821,228,228,228,228,0,12
Bokn,6,6,2007,2007,2009,2011,30729566,9097940,531,827,1038,715,12,794
Dale,2,1,2004,2004,2004,2004,5217027,7839503,665,665,665,665,2,141
Steinkjer,11,9,2002,2002,2007,2007,73341972,102420495,1084,1007,1173,1164,20,1534
Nordkjosbotn,17,11,1996,1999,2001,2000,40014442,56402019,941,977,1022,1046,12,929
Foroy,29,15,1995,1996,1998,1998,59805324,87282038,1003,848,937,948,25,1853
Bogoy,2,2,1990,1990,1965,1967,497829,166497,752,752,762,300,1,90
Alta,10,8,1992,1990,1999,2000,4438637,5712528,81,164,439,485,24,1821
Bjorkas,26,8,1996,1998,2002,2002,28113082,40393554,252,424,333,324,12,879
Vik - Sogn,4,4,2004,2004,2006,2002,12575253,10894477,1158,2209,1432,1037,5,366
Gjosundet,16,16,1994,1994,2010,2011,80744231,111428119,616,925,1693,2076,28,2099
Runde,1,1,1987,1987,1987,1987,1627702,910494,2745,2745,2745,2745,2,156
Brattvag,14,13,2004,2003,2006,2008,44802758,36881820,753,3049,1623,1836,77,5825
Torangsvag,31,24,1995,1995,1991,1992,45164446,29901132,23,566,699,495,49,3679
