port_pair,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Erawan Terminal - Map Ta Phut,35,6,2005,2008,2004,2004,1657667554,2991446472,469,788,970,971,222,17163
Nh Prosperity - Siam Bangkok Port,86,46,2000,1999,1997,1997,84232874,115545602,106,613,235,237,33,2491
Laem Chabang - Unithai Container Terminal,301,81,2008,2006,2008,2007,671517142,871545468,76,433,138,142,197,14948
Siam Seaport - Laem Chabang,108,47,1999,1999,2005,2004,271457658,382671883,507,872,620,609,153,11576
Bangkok - Siam Bangkok Port,73,25,1990,1994,1995,1996,107206532,167680235,416,636,287,251,70,5371
Siam Bangkok Port - Laem Chabang,179,57,2007,2006,2004,2003,384762957,604352873,61,189,132,139,99,7572
Laem Chabang - Nh Prosperity,42,32,2002,2003,2004,2004,202730039,266719748,438,903,681,673,60,4627
Nh Prosperity - Si Racha Terminal,26,23,1997,1997,2006,2007,211090496,358115271,435,1116,1832,1896,53,4004
Si Racha Terminal - Bangpoomai,13,12,1999,1998,2007,2007,20208677,32401209,405,453,571,594,15,1111
Ko Si Chang Terminal - Siam Seaport,84,58,1997,2000,2004,2005,273751790,425226244,410,788,433,420,144,10908
Unithai Container Terminal - Bangkok,139,56,1997,1998,1998,1998,360517645,588649575,457,987,624,597,244,18500
Bangkok - Bangpoomai,100,52,1997,1998,1999,2000,207335501,287932076,514,828,760,736,115,8687
Bangkok - T S Transport And Logistics,33,22,1994,1996,1994,1994,111159951,155868137,495,951,1409,1395,42,3174
Unithai Container Terminal - Bangpoomai,162,55,1997,1995,1998,1998,245511121,373058010,450,962,767,775,208,15701
Bangkok - Nh Prosperity,68,38,1999,2001,2000,2001,164825387,241589152,289,635,445,443,76,5721
Bangkok - Siamgas And Petrochemicals,39,22,1997,1997,1991,1992,51587904,80787929,291,856,276,248,51,3881
Siamgas And Petrochemicals - Siam Bangkok Port,35,16,1992,1992,1991,1992,51689372,71496843,526,980,191,145,48,3621
Siam Bangkok Port - T S Transport And Logistics,36,21,1997,1996,2000,2001,77896125,116152742,518,572,551,488,35,2694
T S Transport And Logistics - Bangpoomai,48,28,1995,1996,1991,1994,115001001,144610476,486,1192,1059,887,54,4109
Bangpoomai - Siam Bangkok Port,60,29,1997,1994,1994,1995,163241449,216874822,553,1348,1339,1271,138,10438
Ko Si Chang Terminal - Unithai Container Terminal,26,21,1998,1999,2002,2002,35975434,49497922,305,494,402,397,23,1702
Nh Prosperity - Bangpoomai,37,27,1995,1996,1993,1995,46415529,63716855,369,627,539,504,33,2505
Bang Saphan - Map Ta Phut,19,7,2004,1995,2013,2013,41788621,56410692,514,684,1369,1294,25,1852
Ko Si Chang Terminal - Nh Prosperity,28,17,1999,1998,2007,2007,100110446,161373603,504,727,546,534,42,3182
Nh Prosperity - T S Transport And Logistics,55,42,1998,1998,2002,2002,72474136,104015221,137,310,201,204,33,2529
T S Transport And Logistics - Petchburi Terminal,2,2,2002,2002,2009,2009,1930813,3208806,153,153,107,107,1,71
Petchburi Terminal - Bangpoomai,3,3,1988,1988,1990,1989,3677728,4610695,1891,1478,1270,1106,4,276
Songkhla Harbor - Unithai Container Terminal,23,11,1991,1994,1990,1991,15631933,18612653,383,531,531,501,26,1960
Unithai Container Terminal - Si Racha Terminal,58,28,1994,1995,1994,1993,33419094,51569347,111,212,243,253,53,3961
Unithai Container Terminal - Khanom,3,3,2002,2002,2010,2010,8839603,11894959,470,563,815,811,2,137
Khanom - Map Ta Phut,6,6,2005,2005,2009,2009,46025410,74006188,442,631,1260,1260,8,582
Songkhla Harbor - Si Racha Terminal,34,15,2003,1996,2006,2006,23441560,30339849,372,395,395,398,20,1520
Unithai Container Terminal - Phra Khanong,159,48,1993,1994,1998,1998,182234483,270265594,420,549,570,574,135,10201
Phra Khanong - Songkhla Harbor,16,8,1989,1990,1988,1988,18551311,24597557,674,1512,1195,1334,13,979
T S Transport And Logistics - Si Racha Terminal,19,14,1997,1999,1996,1996,103158037,173696586,153,2362,1360,1486,56,4293
Si Racha Terminal - Rayong,116,62,1998,1998,2003,2003,697733061,1229814907,268,443,610,628,211,16157
Bang Saphan - Rayong,6,4,1999,2001,2007,2006,7017406,10735740,444,572,449,425,5,350
Petchburi Terminal - Siam Seaport,28,16,1996,1994,2005,2006,28889112,43221161,267,374,543,532,30,2313
Rayong - Bangkok,97,43,1999,2000,1999,1998,137395952,226541487,214,492,461,468,113,8532
Bangkok - Siam Seaport,79,45,1996,1999,2000,2000,118473749,166655538,253,548,354,353,131,9904
Rayong - Ko Si Chang Terminal,69,43,1998,2002,2005,2005,145566433,248373437,184,272,263,267,69,5258
Pattani - Narathiwat,15,9,2003,2004,1999,1998,16855877,22372576,172,161,194,197,5,387
Laem Chabang - Benchamas Terminal,17,14,2007,2007,2005,2005,254702853,282922412,794,1990,1233,1270,49,3708
Laem Chabang - Erawan Terminal,5,4,2009,2008,2002,2002,47132931,77144894,1308,1116,1109,1128,6,432
Siam Seaport - Prachuap Port,7,6,2011,2011,2013,2013,30653476,52002761,165,224,203,207,9,653
Map Ta Phut - Pattani,1,1,2008,2008,2008,2008,128754,93473,458,458,458,458,0,17
Laem Chabang - Siamgas And Petrochemicals,32,21,2007,2008,2006,2005,64449517,102231449,62,195,83,78,29,2195
Bangkok - Si Racha Terminal,20,17,2002,2003,2000,2000,30194318,46973081,227,419,280,300,36,2703
Siamgas And Petrochemicals - Si Racha Terminal,9,6,1994,1992,1997,1997,15920150,23168705,290,486,642,612,42,3153
Siamgas And Petrochemicals - Songkhla Harbor,5,2,2000,2003,1998,1998,4158182,5964803,520,293,418,455,3,216
Songkhla Harbor - Sattahip,38,21,2009,2007,2011,2010,124594534,112415010,1070,1493,2013,1964,80,5990
Laem Chabang - Si Racha Terminal,43,23,1997,1999,2001,2002,1313999530,1216091997,399,1698,5586,4861,106,8133
Songkhla Harbor - Siam Seaport,129,29,1999,1997,2002,2003,164136312,241072249,445,907,774,838,156,11758
Tak Bai Customs House - Benchamas Terminal,1,1,2007,2007,2007,2007,169533,115101,567,567,567,567,0,28
Map Ta Phut - Bongkot Terminal,6,5,2006,2008,2004,2005,60496959,78721114,605,946,1030,938,11,858
Unithai Container Terminal - Photharam,1,1,2015,2015,2015,2015,303277,108120,541,541,541,541,0,20
Photharam - Bangpoomai,2,2,2012,2012,2010,2008,9910462,12543989,2508,2508,1090,939,4,312
Bongkot Terminal - Siam Seaport,5,5,2006,2006,2011,2011,78029426,116618842,1365,1301,1476,1472,11,863
