int_arr_port,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Three Rivers,117,107,2007,2007,2009,2009,8220842237,13030644369,3377,3535,3486,3492,1147,87643
Quebec,237,195,2007,2007,2009,2010,27544815916,48353606248,3287,3075,3285,3380,2931,223706
Roberts Bank,409,242,2009,2008,2009,2009,97565906156,134521857961,4602,3694,3255,3595,8201,628428
Beresford,44,39,2005,2007,2004,2005,3410117916,5626831546,2805,2813,2795,2791,345,26441
Cockburn,76,15,1961,1973,1967,1966,203059315,320543936,241,233,215,214,38,2871
Batchawana Bay,10,8,1977,1978,1977,1975,33040851,68689923,316,246,228,233,6,434
Longue Pointe,225,89,2003,2004,2003,2003,29887531870,34692650135,3387,3437,3396,3404,4203,321307
Saint John,502,139,2008,2008,2008,2009,10755018696,14317321532,426,1560,815,1004,1797,136212
Rimouski,45,40,2009,2009,2009,2009,3844071631,6373152759,2983,2809,2855,2891,417,31940
Les Mechins,5,5,2002,2002,2005,2004,135265822,185354673,90,1422,2330,2482,18,1363
Etang-Du-Nord,7,7,1987,1987,2000,2003,67491470,105823829,390,555,840,1114,22,1669
Walpole Island,10,10,1981,1981,1980,1980,9959634,18575388,55,109,97,112,2,153
Leamington,14,7,1971,1983,1987,1989,36994926,56698550,483,419,395,377,13,1001
Kingsville,9,7,1982,1978,1977,1977,28370113,58361402,156,229,270,281,3,242
Little Current,25,7,1981,1986,1991,1993,29934512,19840110,201,212,228,217,11,807
Nanaimo,88,60,1998,2003,2014,2014,5685926578,8963132737,1563,2711,3223,4043,530,40652
Chemainus,31,15,1978,1987,2008,2008,676830055,1136243868,74,1837,3499,3670,61,4696
Sainte Victoir,60,55,2007,2007,2007,2007,4268101599,7020165378,3071,2865,2673,2651,606,46027
Cornwall,22,20,1995,1996,2004,2004,373679055,561555872,120,951,1025,1020,46,3534
Point Tupper,139,93,2008,2008,2009,2010,25736670896,48046533344,2281,4054,3688,3802,2153,165293
Harbor Grace,10,9,2001,2001,2012,2015,435808787,561659883,2879,4283,2022,1644,58,4331
Stewart,18,18,2011,2011,2011,2011,1306129887,2093372329,4001,3576,3427,3413,123,9440
Bald Rock,30,25,2007,2008,2011,2011,2868548463,2920019518,2488,2162,2445,3135,331,25369
Saint Ignace,28,28,2010,2010,2009,2009,2279530201,3520166564,3193,3468,3454,3436,264,20242
Saint-Pierre,2,2,2008,2008,2010,2010,5431658,8390042,138,138,207,212,6,450
Becancour,42,38,2008,2007,2009,2009,3424378310,5384715499,3596,4097,4021,4046,435,33345
Beaver Cove,64,11,1993,1996,1994,1994,2704673246,4444741305,955,706,1016,1016,217,16323
Lower Sackville,1,1,2001,2001,2001,2001,17990802,12672693,11637,11637,11637,11637,2,128
Bayside,30,21,1999,1999,1998,1997,950044263,1140733371,1325,3219,3519,3122,304,23224
Port Alberni,29,20,2000,2003,2011,2011,1532147302,2480191284,4003,2875,3466,3488,141,10815
Matane,17,17,2007,2007,2007,2007,597511694,826560371,1786,2302,2272,2309,99,7503
Grise Fiord,1,1,1994,1994,1994,1994,4547793,6869062,538,538,538,538,2,130
Milne Inlet Port,46,25,2012,2011,2012,2012,6184107388,11257218569,3290,3325,3328,3326,541,41771
Pointe Aux Trembles,97,90,2008,2008,2008,2008,6342879742,9916804032,3466,3549,3415,3396,1007,76803
Port Hawkesbury,23,15,1998,1996,1999,1999,504012188,777282738,809,897,952,944,76,5680
Midland,10,2,1986,1991,1977,1969,31455035,38087722,247,271,247,237,10,753
Fort William,43,25,1990,1996,1991,1991,298116028,460096469,245,326,346,346,43,3207
Toronto,30,19,1985,1987,1996,1996,68281840,92703459,224,587,238,239,33,2512
Coley'S Point,27,18,1995,1993,2006,2006,665504418,929593571,2291,2376,2846,2627,148,11273
Cowichan Bay,16,16,2011,2011,2011,2011,3901286539,7282102846,4815,4942,4863,4884,255,19674
Dalhousie,65,48,1995,2001,2002,2002,334959276,524191068,244,400,422,427,51,3858
Picton,27,7,2000,1980,2005,2005,23308715,36276343,85,131,99,98,5,389
Welland,15,13,1998,1998,2003,2004,92251206,135337339,218,366,437,429,14,1054
Argentia,100,24,2007,2005,2005,2006,1673108906,2178884818,1606,2345,1737,1761,396,30170
Clark'S Harbour,1,1,2007,2007,2007,2007,1737320,1890214,230,230,230,230,0,35
Sombra,22,16,1978,1974,1978,1978,120909878,230158432,245,182,242,249,17,1273
Blacks Harbour,93,4,1995,1996,1998,1997,5325996,2522084,96,139,167,134,29,2157
Deer Island,3,3,1989,1989,1989,1990,323728,102912,480,423,447,319,2,166
Twillingate Harbor,6,5,2007,2007,2007,2007,495835220,845295391,2795,2518,2649,2654,74,5603
Clarkson,7,6,1984,1985,1981,1982,40887599,58552400,264,302,365,363,9,682
Niagara,9,9,1995,1995,1986,1987,63155569,93215455,256,412,524,531,9,665
Sydney,22,18,2000,2000,1999,1997,1803957268,2152676094,2226,1694,2000,2176,224,17131
Gold River,5,5,1988,1988,2016,2016,16506141,28001676,411,562,492,495,9,711
Squamish,6,6,2014,2014,2015,2015,589382848,910427581,4712,4178,3873,3972,56,4285
Kitimat,38,37,2011,2011,2014,2014,4622244729,7912217958,4350,3963,4512,4643,428,32950
Contrecour,6,5,1997,1997,1995,1995,838155715,975327886,3630,3695,3750,3741,78,5963
Port Simpson,38,5,1976,1983,1980,1977,876834,900334,76,110,129,120,7,501
Saint Jean,15,15,2009,2009,2010,2011,1290719699,2276657152,3320,2677,3179,3216,123,9327
Port Hardy,13,13,1983,1983,2004,2008,67761954,47772983,543,956,466,560,26,1992
Masset Harbor,12,12,2011,2011,2011,2011,5314063602,5668786480,4362,4340,4304,4303,452,34975
Cardinal,5,5,2008,2008,2014,2014,205595778,344199804,166,2161,2376,2401,22,1714
Spragge Harbor,14,10,1976,1988,1987,1987,38164992,56542776,146,179,183,184,5,379
Goderich,67,21,1989,1988,1992,1991,199048629,294825471,132,180,166,165,28,2093
Oshawa,9,9,1989,1989,2000,2000,21502611,32510825,165,217,237,240,5,341
Pointe-Claire,17,16,2008,2008,2008,2008,1165818048,1834604383,3440,3668,3712,3744,141,10742
"Bayside, Charlotte",1,1,1992,1992,1992,1992,65990781,65845897,8523,8523,8523,8523,23,1746
Souris Harbour,1,1,2001,2001,2001,2001,49222835,71900125,2688,2688,2688,2688,5,410
Owen Sound,4,2,1970,1971,1972,1970,890832,194448,249,165,107,144,29,2190
Sayward,12,11,1991,1989,2005,2005,7054463,5805880,403,1353,1218,1052,17,1246
Saint-Pascal,7,6,2004,2004,2007,2007,221877025,317838051,1511,1563,1250,1187,34,2566
Sillery,25,25,2007,2007,2009,2009,1942520575,3061593516,3266,3099,3314,3347,250,19085
Port-Daniel - Gascons,29,9,2007,2001,2007,2007,869683388,1414208048,1159,1655,1622,1651,97,7340
Goose Bay,1,1,2013,2013,2013,2013,41694136,60542325,2837,2837,2837,2837,10,759
Cambridge Bay,1,1,1992,1992,1992,1992,671625,402194,2946,2946,2946,2946,2,149
Glace Bay,4,4,2009,2009,2010,2010,299533738,514469447,2820,2845,2910,2922,33,2515
Arichat,19,19,2007,2007,2006,2007,1552433249,2896912119,1072,1227,1181,1167,99,7462
Iqaluit,4,3,1995,1998,2000,1995,55013067,10111055,938,954,885,1034,12,954
Pond Inlet,19,12,2000,2002,2011,2014,806954943,1260475571,754,1714,2282,3158,111,8557
Amherstburg,18,9,1980,1988,1987,1988,24155599,34925701,227,436,287,284,10,748
Coal Harbor,1,1,2015,2015,2015,2015,108169697,173481694,5027,5027,5027,5027,8,651
Tahsis,4,4,1993,1993,2016,2016,95159455,157274579,428,1328,3719,4148,11,828
Parry Sound,6,2,1955,1980,1955,1953,18210067,26503095,272,210,250,255,3,204
Oakville,2,2,1988,1988,2017,2017,1921407,2384697,92,92,156,157,1,60
North Sydney,6,6,2008,2008,2012,2012,107913716,147227123,696,882,976,1551,16,1234
Corner Brook,26,19,2001,2001,2001,2002,715353246,632419216,1275,1307,1177,1385,184,13846
Pleasantville,2,2,1996,1996,1999,2000,7951987,3316922,4196,4196,4498,4672,6,417
Riviere Du Loup,8,8,2000,2000,2010,2010,387402373,592146355,3094,2836,3579,3680,51,3816
Arnold'S Cove,16,11,2004,2002,2005,2005,1282408556,2339641632,1484,1597,1657,1653,116,8766
Alberton,1,1,1988,1988,1988,1988,401899515,120843487,9468,9468,9468,9468,26,1972
Bowen Island,6,6,1987,1987,1993,2010,704876374,545048627,5530,8366,8319,5738,155,11717
Oka Sur Le Lac,2,2,1982,1982,1988,1989,122705,56385,95,95,98,100,0,19
Ile Aux Coudres,14,13,2000,1999,2003,2003,287564025,381668523,603,1565,1664,1563,82,6219
St Zotique,11,11,2006,2006,2012,2012,166779520,260575092,104,1123,1548,1679,25,1884
Gore Bay,1,1,2013,2013,2013,2013,60760,11047,240,240,240,240,0,13
Killarney,4,2,1985,1994,1980,1977,328860,205166,130,130,114,113,1,59
Mooretown,10,10,1989,1989,1983,1981,32148806,67577537,70,138,172,191,4,329
Churchill,1,1,2002,2002,2002,2002,68739680,113912860,3245,3245,3245,3245,7,515
Lowbanks,3,3,2008,2008,2009,2009,5699257,8220463,214,278,319,334,2,140
Port Aux Basques,3,3,2003,2003,2016,2016,98188115,171478431,1,1036,1221,2610,28,2090
Denman Island,4,4,1978,1978,1986,1986,3721249,1545856,54,271,673,855,7,549
Stoney Island,1,1,2006,2006,2006,2006,876344,222840,395,395,395,395,1,60
Lockeport,4,4,1997,1997,1995,1995,37351934,35227797,2058,3356,1983,1492,12,931
Odessa,12,2,1978,1982,1980,1983,7494524,9603639,51,53,80,79,2,113
Bedford,4,4,2008,2008,2008,2009,320377705,490307940,2838,2886,2889,2871,52,3969
